 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.35001E+01       0.32757E-03       0.13606E+01       0.13571E+02      -0.11812E+01      -0.97064E+01
      0      1      -0.23205E+01       0.37721E-03       0.53542E-01      -0.70933E+00       0.67546E-02       0.26670E+01
      0      1      -0.25349E+01      -0.21528E-04       0.13734E+01       0.84751E+01      -0.17126E+01      -0.13914E+02
      0      1       0.41239E+01      -0.40054E-03       0.85616E+00       0.11807E+02       0.17117E+01       0.13041E+02
      0      1       0.25317E+01      -0.95909E-04      -0.10923E+01      -0.14233E+02       0.13631E+01       0.77871E+01
      0      1       0.99680E-01       0.25777E-03       0.31939E+00       0.75315E+01       0.60689E+00       0.20830E+01
      0      1      -0.93925E+00      -0.15317E-03      -0.28280E+00       0.15532E+01      -0.13009E+01      -0.14688E+02
      0      1      -0.16225E+01       0.39331E-04      -0.26748E+00      -0.58031E+01      -0.12423E+01      -0.57598E+01
      0      1      -0.22941E+01       0.18103E-03       0.11293E+00      -0.55431E+01      -0.91250E+00      -0.37792E+01
      0      1      -0.24507E+01       0.35087E-03      -0.10777E+01      -0.45856E+01      -0.15383E+01      -0.16996E+02
      0      1      -0.22097E+01       0.47870E-03      -0.18600E-01      -0.27539E+01      -0.14268E+01      -0.11598E+02
      0      1      -0.25022E+01      -0.31998E-05      -0.41878E+00       0.62373E+00       0.25374E+00       0.60803E+01
      0      1      -0.73970E+00      -0.17030E-03       0.16871E+01       0.12940E+02      -0.84796E+00      -0.41827E+01
      0      1       0.24297E+00      -0.36643E-04      -0.10233E+01      -0.62401E+01       0.15859E+01       0.12182E+02
      0      1       0.45877E+01      -0.30839E-03       0.20300E+00       0.28206E+01      -0.96043E+00      -0.17117E+00
      0      1      -0.35337E+01       0.12240E-03       0.15524E+01       0.10455E+02      -0.83013E+00       0.11610E+00
      0      1      -0.62836E+01       0.45245E-03      -0.10373E+01      -0.44341E+01       0.60206E+00       0.48330E+01
      0      1       0.31568E+01      -0.21617E-04       0.82238E+00       0.21022E+01       0.13348E+01       0.86005E+01
      0      1       0.24780E+01      -0.25510E-03      -0.13533E+01      -0.16667E+02      -0.14849E+01      -0.15271E+02
      0      1      -0.86680E+00       0.32338E-03       0.18245E+01       0.17638E+02      -0.29837E+00       0.28332E+01
      0      1       0.37747E+01      -0.34159E-03      -0.33313E+00      -0.82381E+01      -0.53637E+00       0.18465E+01
      0      1       0.45150E+01      -0.26599E-03       0.65367E+00       0.33259E+01      -0.81045E+00      -0.68198E+01
      0      1       0.25830E+01      -0.37808E-03       0.35273E+00       0.53338E+01      -0.51843E-01       0.13826E+01
      0      1      -0.43638E+01       0.25132E-03      -0.10400E+01      -0.27848E+01       0.12023E+01       0.10601E+02
      0      1       0.11840E+00       0.28177E-04      -0.89713E+00      -0.15496E+01       0.10577E+01       0.89442E+00
      0      1      -0.19599E+00      -0.11722E-04      -0.55463E-01      -0.40352E+00       0.13109E+00       0.70406E+01
      0      1      -0.13671E+01       0.32196E-03       0.67287E+00       0.17187E+01      -0.44186E-01      -0.33274E+01
      0      1       0.62564E+01      -0.38373E-03       0.48415E-01       0.13288E+01       0.11668E+01       0.71674E+01
      0      1       0.14289E+01      -0.36491E-03       0.72840E-01      -0.26894E+01      -0.10219E+01      -0.20820E+01
      0      1      -0.20472E+01       0.17678E-03      -0.83827E+00      -0.89388E+01       0.18244E+00      -0.34255E+01
      0      1       0.16561E+01      -0.95864E-04       0.88600E+00       0.30585E+01      -0.12416E+01      -0.89016E+01
      0      1       0.30951E+01      -0.39616E-03       0.47448E+00      -0.50815E+01      -0.19895E+00      -0.15998E+01
      0      1       0.18558E+01      -0.20838E-03       0.13527E+01       0.16808E+02      -0.10523E+01      -0.12176E+02
      0      1       0.31905E+01      -0.45191E-03      -0.74092E-01      -0.64208E+01      -0.62889E+00      -0.34235E+01
      0      1      -0.43059E+01       0.12116E-03      -0.46586E+00      -0.46759E+01       0.14354E+00      -0.20940E+01
      0      1      -0.27268E+01       0.47514E-03      -0.13072E+00      -0.71885E+01      -0.82600E+00      -0.87098E+01
      0      1       0.25006E+01      -0.25079E-03       0.10676E+00      -0.17872E+01       0.17051E+00      -0.37297E+01
      0      1      -0.39951E+01       0.31094E-03       0.40983E-01       0.39331E+01      -0.13789E+01      -0.87190E+01
      0      1       0.41081E+01      -0.42514E-03       0.36935E+00      -0.27593E+01       0.43534E+00       0.25309E+01
      0      1      -0.28580E+01       0.38305E-03      -0.89833E-01      -0.84631E+01       0.16473E+01       0.14992E+02
      0      1      -0.37587E+01       0.25245E-03      -0.12832E+01      -0.62573E+01       0.18093E+01       0.19528E+02
      0      1      -0.70405E+00      -0.23708E-03       0.25955E+00      -0.16049E+00       0.10644E+00       0.26471E+01
      0      1      -0.16287E+01       0.26070E-03      -0.44620E+00      -0.60499E+01       0.40077E+00      -0.95464E+00
      0      1      -0.50098E+01       0.36274E-03       0.14535E+01       0.13884E+02       0.80428E+00       0.92995E+01
      0      1       0.28243E+01      -0.22368E-03       0.11512E+01       0.86149E+01      -0.14146E+01      -0.12684E+02
      0      1      -0.34113E+01       0.77913E-04      -0.54743E+00      -0.83792E+01       0.13596E+01       0.11679E+02
      0      1       0.33030E+01      -0.39340E-03       0.16915E+01       0.17710E+02       0.88645E-01      -0.26151E+01
      0      1       0.25387E+01      -0.16776E-03       0.52331E+00       0.77136E+01      -0.17191E+01      -0.14811E+02
      0      1       0.67853E+00      -0.69848E-04      -0.13813E+01      -0.11016E+02       0.18029E-01      -0.46903E+01
      0      1      -0.73742E+00       0.17243E-03      -0.78252E+00      -0.84740E+01       0.13004E+01       0.81770E+01
      0      1       0.18700E+01      -0.32731E-03       0.26903E+00       0.44519E+01      -0.52387E+00      -0.80951E+01
      0      1      -0.27920E+01       0.32748E-03       0.28962E+00      -0.58854E+01       0.27557E+00       0.13660E+01
      0      1      -0.20849E+00      -0.90685E-04       0.14079E+01       0.14566E+02       0.24826E+00      -0.35867E+01
      0      1      -0.20001E+01       0.94194E-04       0.91797E+00       0.11288E+02       0.14207E+01       0.78052E+01
      0      1       0.56571E+01      -0.46882E-03       0.79820E+00      -0.93405E+00      -0.10880E+01      -0.10264E+02
      0      1       0.18315E+01      -0.18868E-03      -0.67116E+00      -0.37909E+01       0.20484E+00      -0.55010E+01
      0      1      -0.60066E+01       0.48562E-03       0.10879E+01       0.46073E+01      -0.59783E-01       0.11622E+01
      0      1      -0.31248E+00       0.59494E-04      -0.14692E+01      -0.13561E+02       0.18129E+00      -0.51081E+01
      0      1      -0.28197E+01       0.10453E-03      -0.12945E+01      -0.44185E+01       0.84620E+00       0.13496E+01
      0      1       0.63735E+00       0.18120E-03       0.33581E+00       0.20801E+01       0.17275E+01       0.13524E+02
      0      1      -0.36550E+01       0.18566E-03      -0.15486E+01      -0.10681E+02       0.33482E+00      -0.16076E+00
      0      1       0.29116E+01      -0.15715E-03      -0.40038E+00      -0.65981E+01       0.23604E+00       0.97502E+00
      0      1      -0.41963E+01       0.34189E-03      -0.11423E+01      -0.12319E+02       0.38869E+00      -0.37668E+01
      0      1      -0.44768E+01       0.44596E-03       0.67391E+00       0.58178E+01      -0.69810E+00      -0.11492E+02
      0      1       0.74379E+00      -0.27509E-03      -0.12212E+01      -0.15466E+01       0.52941E+00       0.55507E+01
      0      1      -0.48464E+01       0.31248E-03       0.97596E+00       0.61488E+00      -0.49634E+00      -0.62242E+01
      0      1       0.15155E+01       0.85393E-04      -0.14440E+00      -0.52222E+01      -0.28343E+00       0.10070E+01
      0      1       0.11160E+01      -0.29580E-04       0.59359E+00       0.38779E+01       0.14489E+00       0.41811E+01
      0      1      -0.13827E+01       0.41387E-03      -0.35926E+00      -0.40926E+01       0.15923E+01       0.14529E+02
      0      1      -0.90740E+00       0.18228E-03       0.14960E+01       0.11473E+02       0.58601E+00      -0.31741E+01
      0      1       0.44306E+00       0.53708E-05      -0.73472E+00      -0.52702E+01       0.12614E+01       0.14928E+02
      0      1      -0.71613E+00      -0.18231E-03      -0.14918E+01      -0.10116E+02       0.62815E+00       0.76708E+01
      0      1      -0.28658E+01       0.32444E-03       0.14399E+01       0.82206E+01       0.19853E+01       0.21102E+02
      0      1       0.41331E+01      -0.44948E-03       0.34597E+00       0.14746E+01       0.15020E+01       0.72457E+01
      0      1      -0.78425E-01       0.92030E-04       0.25887E-01       0.55553E+01       0.28683E-01      -0.16189E+01
      0      1      -0.89252E+00       0.24692E-04       0.89287E+00       0.69747E+01      -0.37010E+00      -0.22907E+01
      0      1       0.23052E+01      -0.15772E-03       0.21912E+00      -0.30325E+01      -0.11217E+01      -0.12547E+02
      0      1       0.22913E+01      -0.45134E-03      -0.41008E+00       0.73820E+00       0.10944E+01       0.12190E+02
      0      1       0.13232E+01      -0.15278E-03      -0.15596E+01      -0.11932E+02      -0.33413E+00       0.46909E+01
      0      1       0.24675E+01      -0.39109E-03      -0.50178E-01       0.55221E+01       0.11815E+01       0.66231E+01
      0      1       0.29326E+01      -0.13270E-03       0.10974E+01       0.84455E+01      -0.13446E+01      -0.11884E+02
      0      1      -0.51868E+01       0.46239E-03       0.13930E+01       0.47922E+01      -0.78963E+00      -0.62696E+01
      0      1       0.17870E+01      -0.16170E-03       0.64993E+00      -0.32037E+01      -0.78755E+00      -0.43577E+01
      0      1      -0.53255E+01       0.48055E-03      -0.10597E+01      -0.11605E+02       0.28985E+00      -0.50477E+01
      0      1      -0.10074E+01       0.51543E-04       0.98289E+00       0.86710E+01      -0.59621E-01       0.75932E+01
      0      1       0.22929E+01      -0.25460E-03      -0.56266E+00      -0.68111E+01       0.59498E+00       0.78728E+01
      0      1       0.21726E+01      -0.40205E-03      -0.28215E+00      -0.71415E+01      -0.90804E-01      -0.62875E+01
      0      1      -0.40564E+01       0.25324E-03      -0.95670E+00      -0.51543E+01       0.14258E+01       0.60832E+01
      0      1      -0.39768E+01       0.32685E-03      -0.15153E+01      -0.90071E+01       0.10574E+01       0.81932E+01
      0      1      -0.10871E+01       0.94010E-04       0.46602E+00       0.95937E+01       0.75460E+00       0.13038E+01
      0      1       0.40254E+01      -0.22695E-03      -0.52874E+00      -0.69234E+01       0.96832E+00       0.74566E+00
